ID,YYYY,MM,DD,valor
180005,2026,5,5,0.0
200006,2026,5,5,0.0
230001,2026,5,5,0.0
270001,2026,5,5,0.0
290004,2026,5,5,0.0
330020,2026,5,5,0.0
330021,2026,5,5,0.0
330031,2026,5,5,27.0
340031,2026,5,5,2.8
360011,2026,5,5,9.4
360019,2026,5,5,29.4
380013,2026,5,5,8.9
390006,2026,5,5,51.2
400009,2026,5,5,31.2
410005,2026,5,5,26.6
450004,2026,5,5,0.0
450005,2026,5,5,0.0
520006,2026,5,5,0.8
950001,2026,5,5,0.0
950003,2026,5,5,0.0
