Station Name,Iso Code,Date,Hour,Minute,Air Temperature,Rain
Alex Muranda Livestock Development Centre,NA,10/4/2025,14,0,35.79,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,15,0,36.57,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,16,0,37.31,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,17,0,37.49,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,18,0,37.14,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,19,0,36.19,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,20,0,33.4,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,21,0,27.18,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,22,0,24.53,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,23,0,21.41,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,24,0,23.72,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,1,0,23.3,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,2,0,24.06,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,3,0,22.24,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,4,0,21.2,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,5,0,23.42,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,6,0,23.45,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,7,0,22.69,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,8,0,22.37,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,9,0,24.9,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,10,0,28.23,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,11,0,30.78,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,12,0,32.78,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,13,0,34.51,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,14,0,35.59,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,15,0,36.19,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,16,0,36.54,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,17,0,36.49,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,18,0,36.2,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,19,0,34.97,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,20,0,31.75,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,21,0,23.84,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,22,0,19.3,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,23,0,17.5,0
Alex Muranda Livestock Development Centre,NA,10/5/2025,24,0,16.37,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,1,0,15.71,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,2,0,15.66,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,3,0,19.8,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,4,0,21.05,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,5,0,22.74,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,6,0,23.87,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,7,0,22.17,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,8,0,21.89,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,9,0,24.95,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,10,0,29.09,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,11,0,32.35,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,12,0,33.93,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,13,0,35.1,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,14,0,35.97,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,15,0,36.56,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,16,0,36.94,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,17,0,37.17,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,18,0,37.04,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,19,0,35.96,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,20,0,32.58,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,21,0,25.46,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,22,0,22.24,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,23,0,20.91,0
Alex Muranda Livestock Development Centre,NA,10/6/2025,24,0,19.67,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,1,0,18.36,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,2,0,16.74,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,3,0,15.82,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,4,0,15.09,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,5,0,13.97,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,6,0,12.95,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,7,0,11.95,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,8,0,12.6,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,9,0,21.38,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,10,0,26.81,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,11,0,30.77,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,12,0,32.73,0
