Station Name,Iso Code,Date,Hour,Minute,Rain
Alexanderbay Lichen Field,ZA,2023-11-02,1,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,2,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,2,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,2,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,2,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,3,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,3,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,3,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,3,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,4,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,4,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,4,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,4,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,5,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,5,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,5,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,5,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,6,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,6,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,6,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,6,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,7,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,7,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,7,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,7,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,8,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,8,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,8,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,8,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,9,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,9,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,9,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,9,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,10,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,10,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,10,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,10,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,11,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,11,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,11,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,11,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,12,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,12,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,12,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,12,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,13,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,13,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,13,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,13,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,14,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,14,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,14,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,14,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,15,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,15,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,15,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,15,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,16,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,16,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,16,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,16,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,17,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,17,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,17,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,17,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,18,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,18,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,18,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,18,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,19,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,19,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,19,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,19,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,20,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,20,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,20,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,20,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,21,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,21,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,21,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,21,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,22,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,22,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,22,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,22,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,23,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,23,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,23,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,23,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,24,0,0
Alexanderbay Lichen Field,ZA,2023-11-03,0,15,0
Alexanderbay Lichen Field,ZA,2023-11-03,0,30,0
Alexanderbay Lichen Field,ZA,2023-11-03,0,45,0
Alexanderbay Lichen Field,ZA,2023-11-03,1,0,0
Alexanderbay Lichen Field,ZA,2023-11-03,1,15,0
Alexanderbay Lichen Field,ZA,2023-11-03,1,30,0
Alexanderbay Lichen Field,ZA,2023-11-03,1,45,0
Alexanderbay Lichen Field,ZA,2023-11-03,2,0,0
Alexanderbay Lichen Field,ZA,2023-11-03,2,15,0
Alexanderbay Lichen Field,ZA,2023-11-03,2,30,0
Alexanderbay Lichen Field,ZA,2023-11-03,2,45,0
Alexanderbay Lichen Field,ZA,2023-11-03,3,0,0
Alexanderbay Lichen Field,ZA,2023-11-03,3,15,0
Alexanderbay Lichen Field,ZA,2023-11-03,3,30,0
Alexanderbay Lichen Field,ZA,2023-11-03,3,45,0
Alexanderbay Lichen Field,ZA,2023-11-03,4,0,0
Alexanderbay Lichen Field,ZA,2023-11-03,4,15,0
Alexanderbay Lichen Field,ZA,2023-11-03,4,30,0
Alexanderbay Lichen Field,ZA,2023-11-03,4,45,0
Alexanderbay Lichen Field,ZA,2023-11-03,5,0,0
Alexanderbay Lichen Field,ZA,2023-11-03,5,15,0
Alexanderbay Lichen Field,ZA,2023-11-03,5,30,0
Alexanderbay Lichen Field,ZA,2023-11-03,5,45,0
Alexanderbay Lichen Field,ZA,2023-11-03,6,0,0
Alexanderbay Lichen Field,ZA,2023-11-03,6,15,0
Alexanderbay Lichen Field,ZA,2023-11-03,6,30,0
Alexanderbay Lichen Field,ZA,2023-11-03,6,45,0
Alexanderbay Lichen Field,ZA,2023-11-03,7,0,0
Alexanderbay Lichen Field,ZA,2023-11-03,7,15,0
Alexanderbay Lichen Field,ZA,2023-11-03,7,30,0
Alexanderbay Lichen Field,ZA,2023-11-03,7,45,0
Alexanderbay Lichen Field,ZA,2023-11-03,8,0,0
Alexanderbay Lichen Field,ZA,2023-11-03,8,15,0
Alexanderbay Lichen Field,ZA,2023-11-03,8,30,0
Alexanderbay Lichen Field,ZA,2023-11-03,8,45,0
Alexanderbay Lichen Field,ZA,2023-11-03,9,0,0
Alexanderbay Lichen Field,ZA,2023-11-03,9,15,0
Alexanderbay Lichen Field,ZA,2023-11-03,9,30,0
Alexanderbay Lichen Field,ZA,2023-11-03,9,45,0
Alexanderbay Lichen Field,ZA,2023-11-03,10,0,0
