Station Name,Iso Code,Date,Hour,Minute,Rain
Alex Muranda Livestock Development Centre,NA,2023-11-04,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,1,0,0.2
Alex Muranda Livestock Development Centre,NA,2023-11-06,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,3,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-06,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,16,0,0.7
Alex Muranda Livestock Development Centre,NA,2023-11-06,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,18,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-06,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-06,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-07,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-08,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-09,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-10,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-11,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-12,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,16,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-13,17,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-13,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-13,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,1,0,0
