Station Name,Iso Code,Station ID,Date,Hour,Minute,Air Temperature,Rain
Shakawe,BW,68026,12/2/2024,3,30,20.39,0
Shakawe,BW,68026,12/2/2024,3,45,19.96,0
Shakawe,BW,68026,12/2/2024,4,0,19.44,0
Shakawe,BW,68026,12/2/2024,4,15,19.38,0
Shakawe,BW,68026,12/2/2024,4,30,19.99,0
Shakawe,BW,68026,12/2/2024,4,45,20.48,0
Shakawe,BW,68026,12/2/2024,5,0,19.53,0
Shakawe,BW,68026,12/2/2024,5,15,18.75,0
Shakawe,BW,68026,12/2/2024,5,30,20.41,0
Shakawe,BW,68026,12/2/2024,5,45,21.15,0
Shakawe,BW,68026,12/2/2024,6,0,20.86,0
Shakawe,BW,68026,12/2/2024,6,15,21.5,0
Shakawe,BW,68026,12/2/2024,6,30,22.3,0
Shakawe,BW,68026,12/2/2024,6,45,23.21,0
Shakawe,BW,68026,12/2/2024,7,0,23.94,0
Shakawe,BW,68026,12/2/2024,7,15,24.51,0
Shakawe,BW,68026,12/2/2024,7,30,25.04,0
Shakawe,BW,68026,12/2/2024,7,45,26.27,0
Shakawe,BW,68026,12/2/2024,8,0,27.26,0
Shakawe,BW,68026,12/2/2024,8,15,28.23,0
Shakawe,BW,68026,12/2/2024,8,30,28.95,0
Shakawe,BW,68026,12/2/2024,8,45,29.37,0
Shakawe,BW,68026,12/2/2024,9,0,30.01,0
Shakawe,BW,68026,12/2/2024,9,15,30.42,0
Shakawe,BW,68026,12/2/2024,9,30,30.38,0
Shakawe,BW,68026,12/2/2024,9,45,30.81,0
Shakawe,BW,68026,12/2/2024,10,0,31.31,0
Shakawe,BW,68026,12/2/2024,10,15,31.49,0
Shakawe,BW,68026,12/2/2024,10,30,31.84,0
Shakawe,BW,68026,12/2/2024,10,45,32.2,0
Shakawe,BW,68026,12/2/2024,11,0,32.8,0
Shakawe,BW,68026,12/2/2024,11,15,33.16,0
Shakawe,BW,68026,12/2/2024,11,30,33.43,0
Shakawe,BW,68026,12/2/2024,11,45,33.94,0
Shakawe,BW,68026,12/2/2024,12,0,33.86,0
Shakawe,BW,68026,12/2/2024,12,15,34.17,0
Shakawe,BW,68026,12/2/2024,12,30,34.51,0
Shakawe,BW,68026,12/2/2024,12,45,34.78,0
Shakawe,BW,68026,12/2/2024,13,0,35.03,0
Shakawe,BW,68026,12/2/2024,13,15,35.43,0
Shakawe,BW,68026,12/2/2024,13,30,35.65,0
Shakawe,BW,68026,12/2/2024,13,45,36.03,0
