Station Name,Iso Code,Date,Hour,Minute,Air Temperature,Rain
Chadiza,ZM,6/1/2025,0,15,15.2,0
Chadiza,ZM,6/1/2025,0,30,15.1,0
Chadiza,ZM,6/1/2025,0,45,14.8,0
Chadiza,ZM,6/1/2025,1,0,14.5,0
Chadiza,ZM,6/1/2025,1,15,14.1,0
Chadiza,ZM,6/1/2025,1,30,13.9,0
Chadiza,ZM,6/1/2025,1,45,13.8,0
Chadiza,ZM,6/1/2025,2,0,13.6,0
Chadiza,ZM,6/1/2025,2,15,13.6,0
Chadiza,ZM,6/1/2025,2,30,13.8,0
Chadiza,ZM,6/1/2025,2,45,14,0
Chadiza,ZM,6/1/2025,3,0,13.3,0
Chadiza,ZM,6/1/2025,3,15,13.6,0
Chadiza,ZM,6/1/2025,3,30,13.7,0
Chadiza,ZM,6/1/2025,3,45,13.6,0
Chadiza,ZM,6/1/2025,4,0,13.4,0
Chadiza,ZM,6/1/2025,4,15,13.2,0
Chadiza,ZM,6/1/2025,4,30,12.9,0
Chadiza,ZM,6/1/2025,4,45,12.6,0
Chadiza,ZM,6/1/2025,5,0,12.6,0
Chadiza,ZM,6/1/2025,5,15,12.5,0
Chadiza,ZM,6/1/2025,5,30,12.4,0
Chadiza,ZM,6/1/2025,5,45,11.9,0
Chadiza,ZM,6/1/2025,6,0,11.6,0
Chadiza,ZM,6/1/2025,6,15,11.7,0
Chadiza,ZM,6/1/2025,6,30,11.7,0
Chadiza,ZM,6/1/2025,6,45,11.9,0
Chadiza,ZM,6/1/2025,7,0,12.5,0
Chadiza,ZM,6/1/2025,7,15,13.2,0
Chadiza,ZM,6/1/2025,7,30,13.7,0
Chadiza,ZM,6/1/2025,7,45,14.1,0
Chadiza,ZM,6/1/2025,8,0,14.2,0
Chadiza,ZM,6/1/2025,8,15,14.6,0
Chadiza,ZM,6/1/2025,8,30,15.1,0
Chadiza,ZM,6/1/2025,8,45,15.7,0
Chadiza,ZM,6/1/2025,9,0,16.3,0
Chadiza,ZM,6/1/2025,9,15,16.5,0
Chadiza,ZM,6/1/2025,9,30,17.4,0
Chadiza,ZM,6/1/2025,9,45,18.2,0
Chadiza,ZM,6/1/2025,10,0,19,0
Chadiza,ZM,6/1/2025,10,15,19.5,0
Chadiza,ZM,6/1/2025,10,30,19.8,0
Chadiza,ZM,6/1/2025,10,45,20.8,0
Chadiza,ZM,6/1/2025,11,0,20.6,0
Chadiza,ZM,6/1/2025,11,15,21.2,0
Chadiza,ZM,6/1/2025,11,30,21.6,0
Chadiza,ZM,6/1/2025,11,45,21.8,0
Chadiza,ZM,6/1/2025,12,0,22.2,0
Chadiza,ZM,6/1/2025,12,15,22.4,0
Chadiza,ZM,6/1/2025,12,30,22.8,0
Chadiza,ZM,6/1/2025,12,45,22.7,0
Chadiza,ZM,6/1/2025,13,0,23.1,0
Chadiza,ZM,6/1/2025,13,15,23.5,0
Chadiza,ZM,6/1/2025,13,30,23.6,0
Chadiza,ZM,6/1/2025,13,45,23.8,0
Chadiza,ZM,6/1/2025,14,0,24.2,0
Chadiza,ZM,6/1/2025,14,15,24.2,0
Chadiza,ZM,6/1/2025,14,30,24.1,0
Chadiza,ZM,6/1/2025,14,45,24.3,0
Chadiza,ZM,6/1/2025,15,0,24.4,0
Chadiza,ZM,6/1/2025,15,15,24.7,0
Chadiza,ZM,6/1/2025,15,30,24.5,0
Chadiza,ZM,6/1/2025,15,45,24.4,0
Chadiza,ZM,6/1/2025,16,0,24.3,0
Chadiza,ZM,6/1/2025,16,15,24.2,0
Chadiza,ZM,6/1/2025,16,30,24.1,0
Chadiza,ZM,6/1/2025,16,45,23.8,0
Chadiza,ZM,6/1/2025,17,0,23.4,0
Chadiza,ZM,6/1/2025,17,15,23,0
Chadiza,ZM,6/1/2025,17,30,22.3,0
Chadiza,ZM,6/1/2025,17,45,21.2,0
Chadiza,ZM,6/1/2025,18,0,20.5,0
Chadiza,ZM,6/1/2025,18,15,19.9,0
Chadiza,ZM,6/1/2025,18,30,19.4,0
Chadiza,ZM,6/1/2025,18,45,18.9,0
Chadiza,ZM,6/1/2025,19,0,18.4,0
Chadiza,ZM,6/1/2025,19,15,17.8,0
Chadiza,ZM,6/1/2025,19,30,18,0
Chadiza,ZM,6/1/2025,19,45,17.9,0
Chadiza,ZM,6/1/2025,20,0,17.2,0
Chadiza,ZM,6/1/2025,20,15,17.4,0
Chadiza,ZM,6/1/2025,20,30,17.7,0
Chadiza,ZM,6/1/2025,20,45,16.6,0
Chadiza,ZM,6/1/2025,21,0,16.8,0
Chadiza,ZM,6/1/2025,21,15,17.1,0
Chadiza,ZM,6/1/2025,21,30,16,0
Chadiza,ZM,6/1/2025,21,45,15.6,0
Chadiza,ZM,6/1/2025,22,0,15.7,0
Chadiza,ZM,6/1/2025,22,15,15.8,0
Chadiza,ZM,6/1/2025,22,30,16.3,0
Chadiza,ZM,6/1/2025,22,45,15.8,0
Chadiza,ZM,6/1/2025,23,0,15.3,0
Chadiza,ZM,6/1/2025,23,15,15.2,0
Chadiza,ZM,6/1/2025,23,30,15.2,0
Chadiza,ZM,6/1/2025,23,45,14.9,0
Chadiza,ZM,6/1/2025,24,0,14.4,0
Chadiza,ZM,6/2/2025,0,15,14,0
Chadiza,ZM,6/2/2025,0,30,13.8,0
Chadiza,ZM,6/2/2025,0,45,13.6,0
Chadiza,ZM,6/2/2025,1,0,13.6,0
Chadiza,ZM,6/2/2025,1,15,13.6,0
Chadiza,ZM,6/2/2025,1,30,13.7,0
Chadiza,ZM,6/2/2025,1,45,13.5,0
Chadiza,ZM,6/2/2025,2,0,13.4,0
Chadiza,ZM,6/2/2025,2,15,13.3,0
Chadiza,ZM,6/2/2025,2,30,13.2,0
Chadiza,ZM,6/2/2025,2,45,13.2,0
Chadiza,ZM,6/2/2025,3,0,13.4,0
Chadiza,ZM,6/2/2025,3,15,13.3,0
Chadiza,ZM,6/2/2025,3,30,13,0
Chadiza,ZM,6/2/2025,3,45,12.7,0
Chadiza,ZM,6/2/2025,4,0,12.5,0
Chadiza,ZM,6/2/2025,4,15,12.4,0
Chadiza,ZM,6/2/2025,4,30,12.4,0
Chadiza,ZM,6/2/2025,4,45,12.2,0
Chadiza,ZM,6/2/2025,5,0,12,0
Chadiza,ZM,6/2/2025,5,15,11.9,0
Chadiza,ZM,6/2/2025,5,30,11.9,0
Chadiza,ZM,6/2/2025,5,45,12,0
Chadiza,ZM,6/2/2025,6,0,12,0
Chadiza,ZM,6/2/2025,6,15,11.6,0
Chadiza,ZM,6/2/2025,6,30,11.4,0
Chadiza,ZM,6/2/2025,6,45,11.4,0
Chadiza,ZM,6/2/2025,7,0,11.8,0
Chadiza,ZM,6/2/2025,7,15,12.3,0
Chadiza,ZM,6/2/2025,7,30,12.9,0
Chadiza,ZM,6/2/2025,7,45,13.3,0
Chadiza,ZM,6/2/2025,8,0,13.7,0
Chadiza,ZM,6/2/2025,8,15,14,0
Chadiza,ZM,6/2/2025,8,30,14.7,0
Chadiza,ZM,6/2/2025,8,45,15.6,0
Chadiza,ZM,6/2/2025,9,0,16.1,0
Chadiza,ZM,6/2/2025,9,15,16.7,0
Chadiza,ZM,6/2/2025,9,30,17.2,0
Chadiza,ZM,6/2/2025,9,45,18.4,0
Chadiza,ZM,6/2/2025,10,0,19.3,0
Chadiza,ZM,6/2/2025,10,15,19.9,0
Chadiza,ZM,6/2/2025,10,30,20.9,0
Chadiza,ZM,6/2/2025,10,45,21.7,0
Chadiza,ZM,6/2/2025,11,0,22.3,0
Chadiza,ZM,6/2/2025,11,15,22.2,0
Chadiza,ZM,6/2/2025,11,30,22.9,0
Chadiza,ZM,6/2/2025,11,45,23.4,0
Chadiza,ZM,6/2/2025,12,0,23.3,0
Chadiza,ZM,6/2/2025,12,15,23.9,0
