Station Name,Iso Code,Date,Hour,Minute,Air Temperature,Rain,
Chadiza,ZM,2/1/2024,0,15,20.3,0,
Chadiza,ZM,2/1/2024,0,30,20.3,0,
Chadiza,ZM,2/1/2024,0,45,20.2,0,
Chadiza,ZM,2/1/2024,1,0,20.3,0,
Chadiza,ZM,2/1/2024,1,15,20.2,0,
Chadiza,ZM,2/1/2024,1,30,20,0,
Chadiza,ZM,2/1/2024,1,45,20,0,
Chadiza,ZM,2/1/2024,2,0,19.9,0,
Chadiza,ZM,2/1/2024,2,15,19.8,0,
Chadiza,ZM,2/1/2024,2,30,19.7,0,
Chadiza,ZM,2/1/2024,2,45,19.6,0,
Chadiza,ZM,2/1/2024,3,0,19.5,0,
Chadiza,ZM,2/1/2024,3,15,19.4,0,
Chadiza,ZM,2/1/2024,3,30,19.4,0,
Chadiza,ZM,2/1/2024,3,45,19.2,0,
Chadiza,ZM,2/1/2024,4,15,19,0,
Chadiza,ZM,2/1/2024,4,30,18.9,0,
Chadiza,ZM,2/1/2024,4,45,19.1,0,
Chadiza,ZM,2/1/2024,6,0,18.9,0,
Chadiza,ZM,2/1/2024,6,15,18.9,0,
Chadiza,ZM,2/1/2024,6,30,18.8,0,
Chadiza,ZM,2/1/2024,6,45,18.9,0,
Chadiza,ZM,2/1/2024,8,0,18.4,0,
Chadiza,ZM,2/1/2024,8,45,20,0,
Chadiza,ZM,2/1/2024,9,0,20.8,0,
Chadiza,ZM,2/1/2024,9,15,21.8,0,
Chadiza,ZM,2/1/2024,9,30,21.8,0,
Chadiza,ZM,2/1/2024,9,45,22,0,
Chadiza,ZM,2/1/2024,10,0,22.4,0,
Chadiza,ZM,2/1/2024,10,15,22.3,0,
Chadiza,ZM,2/1/2024,10,30,22.3,0,
Chadiza,ZM,2/1/2024,10,45,22.9,0,
Chadiza,ZM,2/1/2024,11,0,22.9,0,
Chadiza,ZM,2/1/2024,11,15,23.4,0,
Chadiza,ZM,2/1/2024,11,30,24.2,0,
Chadiza,ZM,2/1/2024,11,45,24.5,0,
Chadiza,ZM,2/1/2024,12,0,24.8,0,
Chadiza,ZM,2/1/2024,12,15,25.4,0,
Chadiza,ZM,2/1/2024,12,30,26,0,
Chadiza,ZM,2/1/2024,12,45,26.1,0,
Chadiza,ZM,2/1/2024,13,0,26.2,0,
Chadiza,ZM,2/1/2024,13,15,26.6,0,
Chadiza,ZM,2/1/2024,13,30,27,0,
Chadiza,ZM,2/1/2024,13,45,27.5,0,
Chadiza,ZM,2/1/2024,14,0,27.3,0,
Chadiza,ZM,2/1/2024,14,15,26.9,0,
Chadiza,ZM,2/1/2024,14,30,27.1,0,
Chadiza,ZM,2/1/2024,14,45,27.1,0,
Chadiza,ZM,2/1/2024,15,0,27.8,0,
Chadiza,ZM,2/1/2024,15,15,27.6,0,
Chadiza,ZM,2/1/2024,15,30,26.9,0,
Chadiza,ZM,2/1/2024,15,45,26.9,0,
Chadiza,ZM,2/1/2024,16,0,27,0,
Chadiza,ZM,2/1/2024,16,15,27,0,
Chadiza,ZM,2/1/2024,16,30,26.8,0,
Chadiza,ZM,2/1/2024,16,45,26.8,0,
Chadiza,ZM,2/1/2024,17,0,26.8,0,
Chadiza,ZM,2/1/2024,17,15,26.5,0,
Chadiza,ZM,2/1/2024,17,30,22,0,
Chadiza,ZM,2/1/2024,17,45,20.8,0,
Chadiza,ZM,2/1/2024,18,30,19.7,0,
Chadiza,ZM,2/1/2024,18,45,19.7,0,
Chadiza,ZM,2/1/2024,19,0,19.8,0,
Chadiza,ZM,2/1/2024,19,15,19.6,0,
Chadiza,ZM,2/1/2024,20,15,18.3,0,
Chadiza,ZM,2/1/2024,20,30,18.2,0,
Chadiza,ZM,2/1/2024,20,45,18.2,0,
Chadiza,ZM,2/1/2024,21,15,18.4,0,
Chadiza,ZM,2/1/2024,21,30,18.4,0,
Chadiza,ZM,2/1/2024,21,45,18.5,0,
Chadiza,ZM,2/1/2024,22,0,18.5,0,
Chadiza,ZM,2/1/2024,22,15,18.6,0,
Chadiza,ZM,2/1/2024,22,30,18.5,0,
Chadiza,ZM,2/1/2024,22,45,18.6,0,
Chadiza,ZM,2/1/2024,23,0,18.7,0,
Chadiza,ZM,2/1/2024,23,15,18.5,0,
Chadiza,ZM,2/1/2024,23,30,18.6,0,
Chadiza,ZM,2/1/2024,23,45,18.5,0,
Chadiza,ZM,2/1/2024,24,0,18.6,0,
Chadiza,ZM,2/2/2024,0,15,18.5,0,
Chadiza,ZM,2/2/2024,0,30,18.6,0,
Chadiza,ZM,2/2/2024,0,45,18.8,0,
Chadiza,ZM,2/2/2024,1,0,18.9,0,
Chadiza,ZM,2/2/2024,1,15,18.9,0,
Chadiza,ZM,2/2/2024,1,30,19,0,
Chadiza,ZM,2/2/2024,1,45,19,0,
Chadiza,ZM,2/2/2024,2,0,18.9,0,
Chadiza,ZM,2/2/2024,2,15,19,0,
Chadiza,ZM,2/2/2024,2,30,19,0,
Chadiza,ZM,2/2/2024,2,45,19,0,
Chadiza,ZM,2/2/2024,3,0,19,0,
Chadiza,ZM,2/2/2024,3,15,18.8,0,
Chadiza,ZM,2/2/2024,3,30,18.7,0,
Chadiza,ZM,2/2/2024,3,45,18.7,0,
Chadiza,ZM,2/2/2024,4,0,18.7,0,
Chadiza,ZM,2/2/2024,4,15,18.6,0,
Chadiza,ZM,2/2/2024,4,30,18.7,0,
Chadiza,ZM,2/2/2024,4,45,18.7,0,
Chadiza,ZM,2/2/2024,5,0,18.7,0,
Chadiza,ZM,2/2/2024,5,15,18.6,0,
Chadiza,ZM,2/2/2024,5,30,18.6,0,
Chadiza,ZM,2/2/2024,5,45,18.6,0,
Chadiza,ZM,2/2/2024,6,0,18.6,0,
Chadiza,ZM,2/2/2024,6,15,18.5,0,
Chadiza,ZM,2/2/2024,6,30,18.4,0,
Chadiza,ZM,2/2/2024,6,45,18.5,0,
Chadiza,ZM,2/2/2024,7,0,18.6,0,
Chadiza,ZM,2/2/2024,7,15,18.7,0,
Chadiza,ZM,2/2/2024,7,30,18.9,0,
Chadiza,ZM,2/2/2024,7,45,19.1,0,
Chadiza,ZM,2/2/2024,8,0,19.3,0,
Chadiza,ZM,2/2/2024,8,15,19.7,0,
Chadiza,ZM,2/2/2024,8,30,20.1,0,
Chadiza,ZM,2/2/2024,8,45,20.9,0,
Chadiza,ZM,2/2/2024,9,0,22,0,
Chadiza,ZM,2/2/2024,9,15,22.4,0,
Chadiza,ZM,2/2/2024,9,30,23,0,
Chadiza,ZM,2/2/2024,9,45,23.6,0,
Chadiza,ZM,2/2/2024,10,0,23.6,0,
Chadiza,ZM,2/2/2024,10,15,23.3,0,
Chadiza,ZM,2/2/2024,10,30,23.3,0,
Chadiza,ZM,2/2/2024,10,45,24.2,0,
Chadiza,ZM,2/2/2024,11,0,24.6,0,
Chadiza,ZM,2/2/2024,11,15,24.5,0,
Chadiza,ZM,2/2/2024,11,30,25.4,0,
Chadiza,ZM,2/2/2024,11,45,23.9,0,
Chadiza,ZM,2/2/2024,12,0,22.3,0,
Chadiza,ZM,2/2/2024,12,15,21.2,0,
Chadiza,ZM,2/2/2024,12,30,20.5,0,
Chadiza,ZM,2/2/2024,13,30,20.9,0,
Chadiza,ZM,2/2/2024,13,45,21.7,0,
Chadiza,ZM,2/2/2024,14,0,22.6,0,
Chadiza,ZM,2/2/2024,14,15,23.6,0,
Chadiza,ZM,2/2/2024,14,30,24.4,0,
Chadiza,ZM,2/2/2024,14,45,24.8,0,
Chadiza,ZM,2/2/2024,15,0,24.9,0,
Chadiza,ZM,2/2/2024,15,15,24.8,0,
Chadiza,ZM,2/2/2024,15,30,25.1,0,
Chadiza,ZM,2/2/2024,15,45,25.5,0,
Chadiza,ZM,2/2/2024,16,0,25.2,0,
Chadiza,ZM,2/2/2024,16,15,25.1,0,
Chadiza,ZM,2/2/2024,16,30,25.2,0,
Chadiza,ZM,2/2/2024,16,45,25.4,0,
Chadiza,ZM,2/2/2024,17,0,25.3,0,
Chadiza,ZM,2/2/2024,17,15,25.4,0,
Chadiza,ZM,2/2/2024,17,30,25.4,0,
Chadiza,ZM,2/2/2024,17,45,25,0,
Chadiza,ZM,2/2/2024,18,0,24.7,0,
Chadiza,ZM,2/2/2024,18,15,23.9,0,
Chadiza,ZM,2/2/2024,18,30,23,0,
Chadiza,ZM,2/2/2024,18,45,22.6,0,
Chadiza,ZM,2/2/2024,19,0,21.8,0,
Chadiza,ZM,2/2/2024,19,15,21.4,0,
Chadiza,ZM,2/2/2024,19,30,20.9,0,
Chadiza,ZM,2/2/2024,19,45,20.6,0,
Chadiza,ZM,2/2/2024,20,0,20.4,0,
Chadiza,ZM,2/2/2024,20,15,20.1,0,
Chadiza,ZM,2/2/2024,20,30,20.1,0,
Chadiza,ZM,2/2/2024,20,45,20.1,0,
Chadiza,ZM,2/2/2024,21,0,20.2,0,
Chadiza,ZM,2/2/2024,21,15,20.1,0,
Chadiza,ZM,2/2/2024,21,30,19.9,0,
Chadiza,ZM,2/2/2024,21,45,19.5,0,
Chadiza,ZM,2/2/2024,22,0,19.4,0,
Chadiza,ZM,2/2/2024,22,15,19.2,0,
Chadiza,ZM,2/2/2024,22,30,19,0,
Chadiza,ZM,2/2/2024,22,45,18.9,0,
Chadiza,ZM,2/2/2024,23,0,18.7,0,
Chadiza,ZM,2/2/2024,23,15,18.5,0,
Chadiza,ZM,2/2/2024,23,30,18.8,0,
Chadiza,ZM,2/2/2024,23,45,18.9,0,
Chadiza,ZM,2/2/2024,24,0,18.9,0,
Chadiza,ZM,2/3/2024,0,15,18.8,0,
Chadiza,ZM,2/3/2024,0,30,18.8,0,
Chadiza,ZM,2/3/2024,0,45,18.9,0,
Chadiza,ZM,2/3/2024,1,0,19,0,
Chadiza,ZM,2/3/2024,1,15,19.2,0,
Chadiza,ZM,2/3/2024,1,30,19,0,
Chadiza,ZM,2/3/2024,1,45,18.9,0,
Chadiza,ZM,2/3/2024,2,0,18.8,0,
Chadiza,ZM,2/3/2024,2,15,18.5,0,
Chadiza,ZM,2/3/2024,2,30,18.3,0,
Chadiza,ZM,2/3/2024,2,45,18.2,0,
Chadiza,ZM,2/3/2024,3,0,18.2,0,
Chadiza,ZM,2/3/2024,3,15,18.2,0,
Chadiza,ZM,2/3/2024,3,30,18.5,0,
Chadiza,ZM,2/3/2024,3,45,18.8,0,
Chadiza,ZM,2/3/2024,4,0,18.9,0,
Chadiza,ZM,2/3/2024,4,15,18.7,0,
Chadiza,ZM,2/3/2024,4,30,18.3,0,
Chadiza,ZM,2/3/2024,4,45,18.1,0,
Chadiza,ZM,2/3/2024,5,0,17.9,0,
Chadiza,ZM,2/3/2024,5,15,17.4,0,
Chadiza,ZM,2/3/2024,5,30,17.2,0,
Chadiza,ZM,2/3/2024,5,45,17.2,0,
Chadiza,ZM,2/3/2024,6,0,16.8,0,
Chadiza,ZM,2/3/2024,6,15,16.7,0,
Chadiza,ZM,2/3/2024,6,30,16.9,0,
Chadiza,ZM,2/3/2024,6,45,17.4,0,
Chadiza,ZM,2/3/2024,7,0,18.1,0,
Chadiza,ZM,2/3/2024,7,15,18.6,0,
Chadiza,ZM,2/3/2024,7,30,19.3,0,
Chadiza,ZM,2/3/2024,7,45,20.8,0,
Chadiza,ZM,2/3/2024,8,0,21.5,0,
Chadiza,ZM,2/3/2024,8,15,21.8,0,
Chadiza,ZM,2/3/2024,8,30,21.9,0,
Chadiza,ZM,2/3/2024,8,45,22.4,0,
Chadiza,ZM,2/3/2024,9,0,22.6,0,
Chadiza,ZM,2/3/2024,9,15,22.7,0,
Chadiza,ZM,2/3/2024,9,30,22.3,0,
Chadiza,ZM,2/3/2024,9,45,22.4,0,
Chadiza,ZM,2/3/2024,10,0,23.4,0,
Chadiza,ZM,2/3/2024,10,15,24.4,0,
Chadiza,ZM,2/3/2024,10,30,24.3,0,
Chadiza,ZM,2/3/2024,10,45,25.1,0,
Chadiza,ZM,2/3/2024,11,0,25.8,0,
Chadiza,ZM,2/3/2024,11,15,25.8,0,
Chadiza,ZM,2/3/2024,11,30,26.6,0,
Chadiza,ZM,2/3/2024,11,45,25.5,0,
Chadiza,ZM,2/3/2024,12,0,25.8,0,
Chadiza,ZM,2/3/2024,12,15,26,0,
Chadiza,ZM,2/3/2024,12,30,27.1,0,
Chadiza,ZM,2/3/2024,12,45,26.4,0,
Chadiza,ZM,2/3/2024,13,0,26.3,0,
Chadiza,ZM,2/3/2024,13,15,26.9,0,
Chadiza,ZM,2/3/2024,13,30,27.4,0,
Chadiza,ZM,2/3/2024,13,45,28,0,
Chadiza,ZM,2/3/2024,14,0,28.5,0,
Chadiza,ZM,2/3/2024,14,15,28.3,0,
Chadiza,ZM,2/3/2024,14,30,28.3,0,
Chadiza,ZM,2/3/2024,14,45,29.2,0,
Chadiza,ZM,2/3/2024,15,0,28.8,0,
Chadiza,ZM,2/3/2024,15,15,28.3,0,
Chadiza,ZM,2/3/2024,15,30,28.3,0,
Chadiza,ZM,2/3/2024,15,45,29.1,0,
Chadiza,ZM,2/3/2024,16,0,29.5,0,
Chadiza,ZM,2/3/2024,16,15,28.4,0,
Chadiza,ZM,2/3/2024,16,30,28.3,0,
Chadiza,ZM,2/3/2024,16,45,28.7,0,
Chadiza,ZM,2/3/2024,17,0,28.1,0,
Chadiza,ZM,2/3/2024,17,15,27.8,0,
Chadiza,ZM,2/3/2024,17,30,28.5,0,
Chadiza,ZM,2/3/2024,17,45,27.6,0,
Chadiza,ZM,2/3/2024,18,0,26.6,0,
Chadiza,ZM,2/3/2024,18,15,26,0,
Chadiza,ZM,2/3/2024,18,30,25.6,0,
Chadiza,ZM,2/3/2024,18,45,25.1,0,
Chadiza,ZM,2/3/2024,19,0,24.8,0,
Chadiza,ZM,2/3/2024,19,15,23.7,0,
Chadiza,ZM,2/3/2024,19,30,22.4,0,
Chadiza,ZM,2/3/2024,19,45,21.1,0,
Chadiza,ZM,2/3/2024,20,0,20.7,0,
Chadiza,ZM,2/3/2024,20,15,20.6,0,
Chadiza,ZM,2/3/2024,20,30,20.7,0,
Chadiza,ZM,2/3/2024,21,45,19.6,0,
Chadiza,ZM,2/3/2024,22,0,19.5,0,
Chadiza,ZM,2/3/2024,22,15,19.5,0,
Chadiza,ZM,2/3/2024,22,30,19.8,0,
Chadiza,ZM,2/3/2024,22,45,19.7,0,
Chadiza,ZM,2/3/2024,23,0,19.7,0,
Chadiza,ZM,2/3/2024,23,15,19.4,0,
Chadiza,ZM,2/3/2024,23,30,19.3,0,
Chadiza,ZM,2/3/2024,23,45,19.3,0,
Chadiza,ZM,2/3/2024,24,0,19.2,0,
Chadiza,ZM,2/4/2024,0,15,19.2,0,
Chadiza,ZM,2/4/2024,0,30,19.2,0,
Chadiza,ZM,2/4/2024,0,45,19.3,0,
Chadiza,ZM,2/4/2024,1,0,19.3,0,
Chadiza,ZM,2/4/2024,1,15,19.1,0,
Chadiza,ZM,2/4/2024,1,30,19,0,
Chadiza,ZM,2/4/2024,1,45,19,0,
Chadiza,ZM,2/4/2024,2,0,19,0,
Chadiza,ZM,2/4/2024,2,15,19,0,
Chadiza,ZM,2/4/2024,2,30,19.1,0,
Chadiza,ZM,2/4/2024,2,45,19,0,
Chadiza,ZM,2/4/2024,3,0,19.1,0,
Chadiza,ZM,2/4/2024,3,15,19,0,
Chadiza,ZM,2/4/2024,3,45,19.1,0,
Chadiza,ZM,2/4/2024,4,0,19,0,
Chadiza,ZM,2/4/2024,4,15,19.1,0,
Chadiza,ZM,2/4/2024,4,30,19.1,0,
Chadiza,ZM,2/4/2024,4,45,19,0,
Chadiza,ZM,2/4/2024,5,0,19,0,
Chadiza,ZM,2/4/2024,9,0,19,0,
Chadiza,ZM,2/4/2024,9,15,19.2,0,
Chadiza,ZM,2/4/2024,9,30,19.4,0,
Chadiza,ZM,2/4/2024,9,45,19.5,0,
Chadiza,ZM,2/4/2024,10,0,19.6,0,
Chadiza,ZM,2/4/2024,10,15,19.8,0,
Chadiza,ZM,2/4/2024,10,30,19.9,0,
Chadiza,ZM,2/4/2024,10,45,20,0,
Chadiza,ZM,2/4/2024,11,0,20.2,0,
Chadiza,ZM,2/4/2024,11,15,20.2,0,
Chadiza,ZM,2/4/2024,11,30,20.5,0,
Chadiza,ZM,2/4/2024,11,45,21.2,0,
Chadiza,ZM,2/4/2024,12,15,22.5,0,
Chadiza,ZM,2/4/2024,12,30,22.6,0,
Chadiza,ZM,2/4/2024,12,45,23,0,
Chadiza,ZM,2/4/2024,13,0,23.3,0,
Chadiza,ZM,2/4/2024,13,15,24.1,0,
Chadiza,ZM,2/4/2024,13,30,24.7,0,
Chadiza,ZM,2/4/2024,13,45,24.5,0,
Chadiza,ZM,2/4/2024,14,0,25.4,0,
Chadiza,ZM,2/4/2024,14,15,26.1,0,
