Station Name,Iso Code,Date,Hour,Minute,Air Temperature,Rain
Alex Muranda Livestock Development Centre,NA,6/1/2024,1,0,9.8,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,2,0,8.5,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,3,0,7.91,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,4,0,7.74,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,5,0,7.25,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,6,0,6.96,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,7,0,6.71,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,8,0,7.27,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,9,0,15.28,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,10,0,20.51,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,11,0,24.16,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,12,0,26.7,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,13,0,28.71,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,14,0,29.6,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,15,0,29.96,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,16,0,29.86,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,17,0,29.41,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,18,0,27.95,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,19,0,22.98,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,20,0,17.48,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,21,0,15.34,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,22,0,13.75,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,23,0,13.47,0
Alex Muranda Livestock Development Centre,NA,6/1/2024,24,0,12.92,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,1,0,12.79,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,2,0,9.81,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,3,0,7.07,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,4,0,6.37,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,5,0,5.67,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,6,0,4.3,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,7,0,5.16,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,8,0,4.83,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,9,0,13.43,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,10,0,17.52,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,11,0,20.98,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,12,0,23.04,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,13,0,24.85,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,14,0,26.01,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,15,0,26.86,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,16,0,27.38,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,17,0,27.07,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,18,0,25.55,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,19,0,21.32,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,20,0,14.62,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,21,0,11.13,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,22,0,9.79,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,23,0,8.42,0
Alex Muranda Livestock Development Centre,NA,6/2/2024,24,0,10.07,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,1,0,7.48,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,2,0,4.21,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,3,0,4.58,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,4,0,6.87,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,5,0,6.8,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,6,0,5.48,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,7,0,2.61,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,8,0,1.61,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,9,0,8.62,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,10,0,12.73,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,11,0,15.93,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,12,0,18.96,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,13,0,21.04,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,14,0,22.62,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,15,0,23.8,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,16,0,24.67,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,17,0,25.44,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,18,0,23.89,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,19,0,16.05,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,20,0,10.33,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,21,0,9.36,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,22,0,6.66,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,23,0,4.96,0
Alex Muranda Livestock Development Centre,NA,6/3/2024,24,0,3.4,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,1,0,3.18,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,2,0,1.85,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,3,0,0.59,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,4,0,0.31,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,5,0,0.24,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,6,0,-0.88,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,7,0,-0.74,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,8,0,0.62,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,9,0,10.63,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,10,0,16.65,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,11,0,19.98,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,12,0,22.59,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,13,0,24.93,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,14,0,26.31,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,15,0,27.63,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,16,0,28.48,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,17,0,28.49,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,18,0,26.76,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,19,0,18.96,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,20,0,13.08,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,21,0,10.28,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,22,0,8.94,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,23,0,7.6,0
Alex Muranda Livestock Development Centre,NA,6/4/2024,24,0,6.67,0
Alex Muranda Livestock Development Centre,NA,6/5/2024,1,0,5.88,0
Alex Muranda Livestock Development Centre,NA,6/5/2024,2,0,5.08,0
Alex Muranda Livestock Development Centre,NA,6/5/2024,3,0,4.7,0
Alex Muranda Livestock Development Centre,NA,6/5/2024,4,0,4.18,0
Alex Muranda Livestock Development Centre,NA,6/5/2024,5,0,3.37,0
Alex Muranda Livestock Development Centre,NA,6/5/2024,6,0,2.69,0
Alex Muranda Livestock Development Centre,NA,6/5/2024,7,0,2.64,0
Alex Muranda Livestock Development Centre,NA,6/5/2024,8,0,3.71,0
Alex Muranda Livestock Development Centre,NA,6/5/2024,9,0,11.9,0
Alex Muranda Livestock Development Centre,NA,6/5/2024,10,0,19.51,0
